SAMPLE	N_Mutations_TMB	TMB
ROP-1-ExC85-xgenV2_S7	278	8.15
ROP-100-ExC85-xgenV2_S67	221	6.48
ROP-102-ExC85-xgenV2_S68	303	8.88
ROP-103-ExC85-xgenV2_S69	222	6.51
ROP-105-ExC85-xgenV2_S70	120	3.52
ROP-107-ExC85-xgenV2_S71	3524	103.26
ROP-108-ExC85-xgenV2_S72	267	7.82
ROP-109-ExC85-xgenV2_S73	179	5.25
ROP-11-ExC85-xgenV2_S8	265	7.77
ROP-110-ExC85-xgenV2_S74	262	7.68
ROP-112-ExC85-xgenV2_S75	160	4.69
ROP-113-ExC85-xgenV2_S76	154	4.51
ROP-114-ExC85-xgenV2_S77	212	6.21
ROP-115-ExC85-xgenV2_S78	112	3.28
ROP-116-ExC85-xgenV2_S79	135	3.96
ROP-117-ExC85-xgenV2_S80	283	8.29
ROP-118-ExC85-xgenV2_S81	200	5.86
ROP-119-ExC85-xgenV2_S82	235	6.89
ROP-12-ExC85-xgenV2_S9	217	6.36
ROP-120-ExC85-xgenV2_S83	146	4.28
ROP-121-ExC85-xgenV2_S84	130	3.81
ROP-122-ExC85-xgenV2_S85	470	13.77
ROP-123-ExC85-xgenV2_S86	234	6.86
ROP-125-ExC85-xgenV2_S87	194	5.68
ROP-126-ExC85-xgenV2_S88	498	14.59
ROP-127-ExC85-xgenV2_S89	10	0.29
ROP-128-ExC85-xgenV2_S90	187	5.48
ROP-129-ExC85-xgenV2_S91	19	0.56
ROP-130-ExC85-xgenV2_S92	140	4.1
ROP-131-ExC85-xgenV2_S93	225	6.59
ROP-132-ExC85-xgenV2_S94	168	4.92
ROP-133-ExC85-xgenV2_S95	250	7.33
ROP-14-ExC85-xgenV2_S10	237	6.94
ROP-15-ExC85-xgenV2_S11	236	6.92
ROP-16-ExC85-xgenV2_S12	157	4.6
ROP-17-ExC85-xgenV2_S13	139	4.07
ROP-18-ExC85-xgenV2_S14	285	8.35
ROP-19-ExC85-xgenV2_S15	271	7.94
ROP-20-ExC85-xgenV2_S16	171	5.01
ROP-23-ExC85-xgenV2_S17	341	9.99
ROP-24-ExC85-xgenV2_S18	154	4.51
ROP-32-ExC85-xgenV2_S23	235	6.89
ROP-33-ExC85-xgenV2_S24	270	7.91
ROP-34-ExC85-xgenV2_S25	136	3.99
ROP-36-ExC85-xgenV2_S26	238	6.97
ROP-37-ExC85-xgenV2_S27	205	6.01
ROP-38-ExC85-xgenV2_S28	226	6.62
ROP-42-ExC85-xgenV2_S29	115	3.37
ROP-44-ExC85-xgenV2_S30	449	13.16
ROP-45-ExC85-xgenV2_S31	199	5.83
ROP-46-ExC85-xgenV2_S32	162	4.75
ROP-47-ExC85-xgenV2_S33	190	5.57
ROP-50-ExC85-xgenV2_S34	77	2.26
ROP-51-ExC85-xgenV2_S35	230	6.74
ROP-53-ExC85-xgenV2_S36	187	5.48
ROP-54-ExC85-xgenV2_S37	252	7.38
ROP-56-ExC85-xgenV2_S38	218	6.39
ROP-57-ExC85-xgenV2_S39	62	1.82
ROP-58-ExC85-xgenV2_S40	228	6.68
ROP-59-ExC85-xgenV2_S41	187	5.48
ROP-60-ExC85-xgenV2_S42	218	6.39
ROP-61-ExC85-xgenV2_S43	97	2.84
ROP-65-ExC85-xgenV2_S44	225	6.59
ROP-68-ExC85-xgenV2_S45	192	5.63
ROP-69-ExC85-xgenV2_S46	245	7.18
ROP-70-ExC85-xgenV2_S47	220	6.45
ROP-71-ExC85-xgenV2_S48	143	4.19
ROP-73-ExC85-xgenV2_S49	209	6.12
ROP-75-ExC85-xgenV2_S50	252	7.38
ROP-76-ExC85-xgenV2_S51	213	6.24
ROP-78-ExC85-xgenV2_S52	207	6.07
ROP-81-ExC85-xgenV2_S53	7	0.21
ROP-83-ExC85-xgenV2_S54	8297	243.12
ROP-85-ExC85-xgenV2_S55	223	6.53
ROP-86-ExC85-xgenV2_S56	169	4.95
ROP-89-ExC85-xgenV2_S57	279	8.18
ROP-90-ExC85-xgenV2_S58	656	19.22
ROP-91-ExC85-xgenV2_S59	8	0.23
ROP-92-ExC85-xgenV2_S60	275	8.06
ROP-93-ExC85-xgenV2_S61	198	5.8
ROP-94-ExC85-xgenV2_S62	178	5.22
ROP-95-ExC85-xgenV2_S63	210	6.15
ROP-96-ExC85-xgenV2_S64	128	3.75
ROP-97-ExC85-xgenV2_S65	210	6.15
ROP-98-ExC85-xgenV2_S66	138	4.04
